model_name,radius,filename,n_rows,total_effect,total_pval,total_ci_low,total_ci_high,direct_effect,direct_pval,direct_ci_low,direct_ci_high,indirect_effect,indirect_ci_low,indirect_ci_high,prop_mediated,path_a_coef,path_a_pval,path_b_coef,path_b_pval,causal_r2,predictive_r2,rmse,mae,skill_score,spearman_rho,spearman_pval,mse,baseline_mse,vif_a_avg,vif_b_avg,bootstrap_success_rate,placebo_effect,subset_effect,dowhy_original_effect,pressure_missing_pct,hurdle_occurrence_prob,hurdle_conditional_magnitude,hurdle_stage1_auc,hurdle_stage2_mae
gbm_nonparam,1,event_well_links_with_faults_90d_1km.csv,1177,0.043753039235889295,0.0,0.028105481618543253,0.047880167638929695,0.08399367766187919,3.0841046389046027e-62,0.07505111753315705,0.0957191134745511,0.001307468349814947,-0.008178147247812401,0.008786620467085365,2.988291493914028,0.3495374727056875,0.0,0.003740567040478211,0.92,,0.49630083600395325,0.6679624648260073,0.46630605511602685,0.4978899652521469,0.6636168597663735,2.485902562630411e-31,0.4461738544164351,0.8885977645128965,2.030630008495499,2.198164590431497,1.0,0.001056330378582212,0.047052555577522956,0.043753039235889295,0.0,0.7635371443816251,1.7177743104012504,0.9602567872194452,0.45699364690176736
gbm_nonparam,2,event_well_links_with_faults_90d_2km.csv,4778,0.056850912316076425,0.0,0.050993633545989264,0.05959412702063079,0.09175476255531023,4.3752852098718406e-285,0.08808909338983337,0.09582099822899748,0.0001816405758563324,-0.0021633383505620506,0.005227977197543257,0.31950336143500674,0.3432350995978019,0.0,0.0005292016348828435,0.36,,0.5238737107229599,0.6315476646150968,0.4532861056911709,0.5242392551812658,0.6657426812138171,1.913167638641094e-123,0.3988524526807828,0.8383467047764656,3.104032798644226,3.11284681839763,1.0,0.0021571036269151423,0.053287669042690146,0.056850912316076425,0.0,0.7396602359521239,1.7458368119314425,0.9759242539991204,0.4329558333121824
gbm_nonparam,3,event_well_links_with_faults_90d_3km.csv,11649,0.06535698408195231,0.0,0.06180828117670115,0.06785778089390418,0.09755417195914716,0.0,0.09545742444260485,0.10049493758565252,0.0023770528403034403,0.00029386047768059154,0.004868470352248232,3.6370295748696275,0.3458912987211995,0.0,0.006872253939580677,0.04,,0.5503476606576276,0.6139452270922994,0.4510030870031556,0.5503816703448845,0.6600147663773148,1.6920858815733483e-291,0.376928741869415,0.838330461657429,3.4921983384102115,3.4772395388657364,1.0,0.0017440627519930204,0.06551327394892173,0.06535698408195231,0.0,0.7585364481899147,1.7408743447442951,0.9785669091273898,0.43815404546645864
gbm_nonparam,4,event_well_links_with_faults_90d_4km.csv,20292,0.06799802415495311,0.0,0.0657207472892334,0.07073294160759644,0.09959804625034052,0.0,0.0972184765665517,0.1016444475911561,0.0014439835500822454,9.663388856513822e-05,0.002881491688990199,2.1235669242266693,0.3564055802760513,0.0,0.004051517793194536,0.04,,0.5344694518762656,0.613225350772034,0.45288234711337755,0.534511078650002,0.6466323366145402,0.0,0.3760453308294841,0.8078502271093542,3.915567169841268,3.8436145015963823,1.0,0.0013320576926597197,0.06872280558698635,0.06799802415495311,0.0,0.7608816487086769,1.7167233508743307,0.9705667986407133,0.43784926933411256
gbm_nonparam,5,event_well_links_with_faults_90d_5km.csv,30460,0.07144537047134147,0.0,0.06893251308457596,0.07305171445939142,0.10014769095730895,0.0,0.0985408500536207,0.10135941898713235,0.0008025712722911775,-0.00010265436751228988,0.0020422108649747646,1.1233355877314808,0.3481980961861866,0.0,0.0023049272270059483,0.16,,0.5028147922448186,0.6409596490304792,0.46763884128734706,0.5028534779548036,0.636251643397286,0.0,0.41082927168527505,0.826374626931265,4.304944187406993,4.181399326303675,1.0,0.0007920232685334515,0.07085431002919831,0.07144537047134147,0.0,0.745797198138559,1.6995796567269403,0.9674075582480133,0.43270697244727524
gbm_nonparam,6,event_well_links_with_faults_90d_6km.csv,42185,0.07257212630923068,0.0,0.07044461929259124,0.0739795204117839,0.10123571862894616,0.0,0.09981223183315235,0.10286477600080092,0.0010889261036928237,-9.791335347081952e-05,0.0022287715965905387,1.500474299254919,0.35428754243112115,0.0,0.003073565884424309,0.08,,0.505714052556168,0.6340831006999578,0.4698871432337987,0.5057521992915441,0.6321917612524302,0.0,0.40206137859327273,0.813481371119825,4.394220642414033,4.238083564292549,1.0,0.0005094911483540342,0.07227208218279976,0.07257212630923068,0.0,0.73197213811537,1.6984158794405895,0.9646486606342134,0.4334282663355801
gbm_nonparam,7,event_well_links_with_faults_90d_7km.csv,55955,0.07546592859830048,0.0,0.0742382187609408,0.0769061343413152,0.10183365930682864,0.0,0.09997975520516837,0.10307017171625815,0.0017013066233904318,0.0009638695832079473,0.0024862229035937378,2.2544036162946597,0.3528306641193257,0.0,0.0048218785848359765,0.0,,0.4986857103577269,0.6440212492979048,0.4720889897283015,0.4986860376633845,0.6319178421962935,0.0,0.41476336954723403,0.8273525189963378,4.462472114377906,4.262541567578168,1.0,0.0002206332512119322,0.07575415418764894,0.07546592859830048,0.0,0.7303863687633053,1.6887929654605838,0.9616468864047817,0.4402811627747923
gbm_nonparam,8,event_well_links_with_faults_90d_8km.csv,72116,0.07711441537940567,0.0,0.07585774511671364,0.07797614790684593,0.10165025928458517,0.0,0.10054900863258091,0.10239568130867892,0.002669278685322153,0.0020780298775094795,0.003350077531812362,3.4614522747649796,0.35687369976207145,0.0,0.007479617262638764,0.0,,0.48847922187871307,0.6560605256162362,0.4812804076110614,0.48849986744417273,0.6360882089138956,0.0,0.43041541327185207,0.8414766407218375,4.463729496827323,4.255607049821725,1.0,0.00020315409771592147,0.07696939851147377,0.07711441537940567,0.0,0.7228396559112608,1.6878288856417216,0.9610560232287237,0.4416378227866102
gbm_nonparam,9,event_well_links_with_faults_90d_9km.csv,90728,0.0791193798340603,0.0,0.0781354958577956,0.07986870386175553,0.10078163619510101,0.0,0.0997558724544191,0.10169638276335186,0.003253644011502042,0.002674051242156711,0.0037803681368227295,4.112322440249175,0.35532750524184464,0.0,0.009156746842008562,0.0,,0.4870229201553007,0.6562271181092595,0.48252865479817075,0.4870547172621109,0.6388063358149733,0.0,0.43063403054198407,0.8395321002728368,4.449799926025351,4.241209364584652,1.0,-0.000641935524080118,0.07891353842172144,0.0791193798340603,0.0,0.7101452515355944,1.686758216433228,0.9551193876369992,0.4418240705294393
gbm_nonparam,10,event_well_links_with_faults_90d_10km.csv,110014,0.08178639550407665,0.0,0.08114229920415647,0.08307511003014366,0.10016209504296797,0.0,0.09896495496127235,0.10085591783196755,0.002830429467366944,0.002377545586100935,0.0033171259496507,3.4607582959513854,0.3628100039194789,0.0,0.0078014096546111834,0.0,,0.49042819584841557,0.6538553913058384,0.475794080587496,0.4904573821757805,0.6448162362584899,0.0,0.4275268727397111,0.8390404605708526,4.409893903596032,4.198019791485341,1.0,-0.00010993861256568382,0.08248535840916187,0.08178639550407665,0.0,0.7018432113918066,1.6813018286736854,0.9562750228132706,0.4377391551014493
gbm_nonparam,11,event_well_links_with_faults_90d_11km.csv,130215,0.08388354421773829,0.0,0.08275361884084886,0.08485645769064197,0.09900232205817484,0.0,0.09816662303824608,0.09976810532175315,0.0026764356117055157,0.0022423072115059367,0.0034046444709019434,3.1906563279661087,0.3538909033817858,0.0,0.007562883324011621,0.0,,0.4950027574840281,0.6544312833115147,0.47674142815329,0.4950405284074202,0.6515911520399424,0.0,0.4282803045767559,0.8481478785337222,4.2675130048423275,4.087220216731018,1.0,-0.00023386851964288507,0.08444473232720841,0.08388354421773829,0.0,0.6850468488224797,1.6757088674638336,0.9568663845550993,0.437244313901899
gbm_nonparam,12,event_well_links_with_faults_90d_12km.csv,150203,0.08582669904594041,0.0,0.08531853137489916,0.08697661984805641,0.09847062619511712,0.0,0.09740551830888457,0.09935085141737446,0.0033545599878993613,0.002490891962727691,0.004045319145026468,3.908527329128396,0.3589932551585634,0.0,0.009344353799677069,0.0,,0.5048013088429706,0.6514327901060394,0.4749893682583524,0.5048014363035151,0.6600981246947604,0.0,0.4243646800253391,0.8569586245517447,4.22149609162252,4.040811706615722,1.0,0.00016503580854446826,0.08635798044367803,0.08582669904594041,0.0,0.6774520289240418,1.6702465154923196,0.9520380045143831,0.4390455614470697
gbm_nonparam,13,event_well_links_with_faults_90d_13km.csv,170893,0.0874732834039163,0.0,0.08667501038460937,0.08826615504025594,0.09794492687857634,0.0,0.09727559480630969,0.09866836673999023,0.0021336788481887085,0.001690849854802058,0.002825911279623128,2.4392348899677643,0.3639639509211871,0.0,0.005862335659310216,0.0,,0.4960315117175641,0.6516245160071598,0.4760496270271042,0.4960810735502831,0.6575151448702808,0.0,0.42461450986156524,0.8426246516540294,4.228847332993369,4.04164556035187,1.0,2.452690305433533e-05,0.087289642238982,0.0874732834039163,0.0,0.6668208687429549,1.6672260383696094,0.9507712464033014,0.43521291950381324
gbm_nonparam,14,event_well_links_with_faults_90d_14km.csv,192249,0.08717839294297458,0.0,0.0865156791686169,0.08770160726998964,0.09748137062796522,0.0,0.09670214853475494,0.09833700885690502,0.0022619580091428897,0.0016100131600429255,0.0026949497290768764,2.594631459451758,0.37301505649957134,0.0,0.006063985808962886,0.0,,0.502251872078214,0.6502667685127562,0.4704121875033227,0.5022535918239569,0.6623693694050542,0.0,0.42284687023202255,0.8495226952646737,4.213633989416212,4.0313535070976645,1.0,0.00033999222389885985,0.08748552402611669,0.08717839294297458,0.0,0.662989243128289,1.6612820356377853,0.9542428181692766,0.4388601726418945
gbm_nonparam,15,event_well_links_with_faults_90d_15km.csv,215258,0.08579883283145798,0.0,0.08492170267631699,0.08622528035790447,0.09652189144507248,0.0,0.09565994920932921,0.09701678987974216,0.0024661181918677316,0.0020166891669216457,0.0028906971745784496,2.874302727068723,0.3754009171352696,0.0,0.006569291867177581,0.0,,0.5009587064179388,0.6534045116797094,0.47145454303382817,0.5009729880439358,0.6634920249041469,0.0,0.42693745588339943,0.8555397717047594,4.233367985054363,4.048702727090019,1.0,-0.00046648605424433234,0.08551423190026007,0.08579883283145798,0.0,0.6636070403927765,1.652751103103175,0.9540776561223396,0.4416264132976853
gbm_nonparam,16,event_well_links_with_faults_90d_16km.csv,238280,0.08804552654088978,0.0,0.08730749195320245,0.08856454251110868,0.0950504690527976,0.0,0.09428938094430865,0.09551244345634145,0.0030320919499887107,0.0025079707377616465,0.003472675665052401,3.443777405977075,0.37058896740390596,0.0,0.008181819257139475,0.0,,0.5015212108999685,0.6462576148955582,0.4664720609080579,0.5016352976761611,0.6617095126022128,0.0,0.4176489048104956,0.8380386950821932,4.263481193998282,4.072884430802603,1.0,-5.241140937220374e-05,0.08771929589170545,0.08804552654088978,0.0,0.6581065873958866,1.648877666856265,0.950143298494006,0.4334481395676531
gbm_nonparam,17,event_well_links_with_faults_90d_17km.csv,263078,0.08790827844698128,0.0,0.0872419076412176,0.08827754399010859,0.09479291533438676,0.0,0.09421743635674211,0.09530865303011793,0.0028072011761945187,0.0023255007381124274,0.003241479760067658,3.193329713409848,0.3734044552126436,0.0,0.0075178566752662195,0.0,,0.5045837093505083,0.6432152059247158,0.4604754147400675,0.5046009150365227,0.6604647416938915,0.0,0.4137258011327746,0.8351363853715555,4.339352301284555,4.141295200227537,1.0,-9.023646489376378e-05,0.08760512240664696,0.08790827844698128,0.0,0.6546991019226337,1.6488936894365205,0.9503950516514985,0.4339945137083485
gbm_nonparam,18,event_well_links_with_faults_90d_18km.csv,290036,0.08884604475094418,0.0,0.08826803038405885,0.08946179170487727,0.0944718972704506,0.0,0.09379959561892544,0.09510487245225377,0.003991418107742491,0.003479438019947434,0.00441517450467478,4.4925107458991,0.3706365528116342,0.0,0.010769089226261554,0.0,,0.4932496961411722,0.6514904319784515,0.46464885331775024,0.4932630837733657,0.6565321133633248,0.0,0.42443978295946927,0.8375939651683907,4.417263985041998,4.211563065688185,1.0,0.0002958562067876608,0.08888888592100369,0.08884604475094418,0.0,0.6496976233440912,1.6429461753499142,0.9492738996171365,0.4362813185939277
gbm_nonparam,19,event_well_links_with_faults_90d_19km.csv,316778,0.08886967484475644,0.0,0.08840987210217523,0.08945872262243561,0.09438718088543514,0.0,0.09377280182220438,0.09493032927736411,0.003882493427143931,0.003263856623119969,0.004169644423686083,4.368749445664264,0.37583580547356793,0.0,0.010330291501236388,0.0,,0.5035861089461535,0.6417132158327986,0.45647476558085603,0.503586129201302,0.6607889320593816,0.0,0.411795851374472,0.8295413879388964,4.493319032009351,4.28249661543075,1.0,0.00015013863049401536,0.08906948279380088,0.08886967484475644,0.0,0.6493259293902075,1.6395362114132344,0.9496742839471102,0.4306124795813431
gbm_nonparam,20,event_well_links_with_faults_90d_20km.csv,342463,0.09006513902649674,0.0,0.08951046472481838,0.09049437421946413,0.09450149710450144,0.0,0.0938287802355586,0.09514604610075526,0.0037857444972299705,0.0032631647759464406,0.004122132490387251,4.2033405356940845,0.38469606340740226,0.0,0.009840871423788856,0.0,,0.5032743633529269,0.6436411453691259,0.45586723233093435,0.5032935661159776,0.6609001165385869,0.0,0.4142739240120802,0.8340417915923561,4.568585273786291,4.351660713585506,1.0,-8.1396803484719e-06,0.09009576331554073,0.09006513902649674,0.0,0.6447864143922504,1.636008251755189,0.9494259809693617,0.4324192698622118
lasso_nonparam,1,event_well_links_with_faults_90d_1km.csv,1177,0.07733735012315285,0.0,0.06985629340904836,0.08394450527620585,0.08399367766187919,3.0841046389046027e-62,0.07505111753315705,0.0957191134745511,-0.0070682462417977505,-0.01238113355405566,-0.001425835779346523,-9.139498871557143,0.3311898229670958,0.0,-0.021341978984964132,0.04,,0.25689082512084005,0.8113210710240447,0.6277318078721702,0.2592352731739854,0.453855935779671,2.1531193905675475e-13,0.658241880287603,0.8885977645128965,2.030630008495499,2.198164590431497,1.0,-0.0009526758682383504,0.07860137848968693,0.07733735012315285,0.0,0.7635371443816251,1.7177743104012504,0.9602567872194452,0.45699364690176736
lasso_nonparam,2,event_well_links_with_faults_90d_2km.csv,4778,0.08736361097807412,0.0,0.08425297129155417,0.09077975568389644,0.09175476255531023,4.3752852098718406e-285,0.08808909338983337,0.09582099822899748,-0.004407947738028368,-0.006856591327494759,-0.000999832466017974,-5.045519168312127,0.35100373509957394,0.0,-0.012558122029037402,0.0,,0.32559324889786023,0.751633290658021,0.5865400238744161,0.3261110225559454,0.516443381918666,2.7118382866192863e-66,0.5649526036254051,0.8383467047764656,3.104032798644226,3.11284681839763,1.0,-0.003484456295762225,0.08829485023877,0.08736361097807412,0.0,0.7396602359521239,1.7458368119314425,0.9759242539991204,0.4329558333121824
